dataset,model,trained_loss,metric,mean_reconstruction_value,std_reconstruction_value,mean_clean_input_value,mean_model_seconds,mean_peak_memory_mb,num_rows
ncaltech101,pointnetpp_ae,sinkhorn,chamfer,0.008674,0.001252,7.0599e-08,0.182955,185.268164,20
ncaltech101,pointnetpp_ae,sinkhorn,hausdorff,0.216375,0.013363,6.9143e-04,0.182955,185.268164,20
ncaltech101,pointnetpp_ae,sinkhorn,mse,0.59824,0.011637,0,0.182955,185.268164,20
ncaltech101,pointnetpp_ae,sinkhorn,temporal_weighted_chamfer,0.008674,0.001252,7.0599e-08,0.182955,185.268164,20
ncaltech101,pointnetpp_ae,temporal_weighted_chamfer,chamfer,0.003101,8.9384e-04,5.3479e-08,0.070235,146.906445,20
ncaltech101,pointnetpp_ae,temporal_weighted_chamfer,hausdorff,0.154799,0.027688,6.9053e-04,0.070235,146.906445,20
ncaltech101,pointnetpp_ae,temporal_weighted_chamfer,mse,0.150781,0.013638,0,0.070235,146.906445,20
ncaltech101,pointnetpp_ae,temporal_weighted_chamfer,temporal_weighted_chamfer,0.003101,8.9384e-04,5.3479e-08,0.070235,146.906445,20
nmnist,pointnet_ae,chamfer,chamfer,0.001255,8.0925e-05,6.3005e-08,0.024891,151.503125,20
nmnist,pointnet_ae,chamfer,hausdorff,0.221848,0.011071,5.9952e-04,0.024891,151.503125,20
nmnist,pointnet_ae,chamfer,mse,0.104048,0.002881,0,0.024891,151.503125,20
nmnist,pointnet_ae,chamfer,temporal_weighted_chamfer,0.001255,8.0925e-05,6.3005e-08,0.024891,151.503125,20
nmnist,pointnet_ae,density_aware_chamfer,chamfer,0.058613,0.008897,6.3005e-08,0.025109,151.503125,20
nmnist,pointnet_ae,density_aware_chamfer,hausdorff,0.723487,0.043881,5.9952e-04,0.025109,151.503125,20
nmnist,pointnet_ae,density_aware_chamfer,mse,0.201552,0.004313,0,0.025109,151.503125,20
nmnist,pointnet_ae,density_aware_chamfer,temporal_weighted_chamfer,0.058613,0.008897,6.3005e-08,0.025109,151.503125,20
nmnist,pointnet_ae,hausdorff,chamfer,0.005348,2.4810e-04,6.3003e-08,0.60083,151.503125,20
nmnist,pointnet_ae,hausdorff,hausdorff,0.179279,0.007774,5.9952e-04,0.60083,151.503125,20
nmnist,pointnet_ae,hausdorff,mse,0.11826,0.004189,0,0.60083,151.503125,20
nmnist,pointnet_ae,hausdorff,temporal_weighted_chamfer,0.005348,2.4810e-04,6.3003e-08,0.60083,151.503125,20
